,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
59,I<sup>-</sup>,ao,126.9044,-55.19,-51.57,111.3,-142.3,-1.0
60,I2,cr,253.8088,0,0,116.135,54.438,0.0
61,I2,g,253.8088,62.438,19.327,260.69,36.90,0.0
62,IO,g,142.9038,175.06,149.77,245.50,32.89,0.0
63,HI,g,127.9124,26.48,1.70,206.594,29.158,0.0
64,HI,ai,127.9124,-55.19,-51.57,111.3,-142.3,0.0
65,IF,g,145.9028,-95.65,-118.51,236.17,33.43,0.0
66,IF5,g,221.8964,-822.49,-751.73,327.7,99.2,0.0
67,IF7,g,259.8932,-943.9,-818.3,346.5,136.4,0.0
68,ICl,g,162.3574,17.78,-5.46,247.551,35.56,0.0
69,IBr,g,206.8134,40.84,3.69,258.773,36.44,0.0
